Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Leandro Cabrera,URU,DF,34,Espanyol,La Liga,0.14,0.03,0.17,0.14,0.00,0.00,0.08,0.03,0.06,0.06,0.03,0.09,0.20,2.23,0.28,Shooting,Per 90,0.86,0.31,35.5%,0.16,0.45,11.50,0.00,0.07,+0.08,+0.08,Passing,32.05,41.28,77.7%,630.89,280.56,11.26,12.71,88.6%,16.86,19.01,88.7%,3.68,8.61,42.7%,0.04,0.25,2.59,0.33,0.08,Pass Types,37.35,3.68,1.76,0.00,0.53,0.47,0.33,0.00,0.00,0.00,0.00,0.25,0.20,Goal and Shot Creation,0.72,0.50,0.06,0.00,0.08,0.06,0.03,0.20,0.11,0.00,0.00,0.06,0.03,0.00,Defense,0.84,0.42,0.61,0.17,0.06,0.47,1.03,45.9%,0.56,1.09,0.89,0.81,1.64,6.24,0.03,Possession,52.01,9.59,28.68,20.40,3.07,1.42,52.01,0.08,0.06,66.7%,0.03,33.3%,24.56,97.02,56.53,0.28,0.00,0.22,0.08,30.05,Miscellaneous Stats,0.00,0.78,0.31,0.03,0.06,0.03,0.03,2.29,2.68,1.34,66.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calebe,BRA,"MF,DF",25,Alavés,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.02,0.02,0.08,0.10,3.17,3.33,7.17,Shooting,Per 90,0.83,0.17,20.0%,0.00,0.00,23.20,0.00,0.03,-0.02,-0.02,Passing,36.17,42.83,84.4%,509.17,143.50,22.67,24.83,91.3%,10.50,13.00,80.8%,1.83,3.33,55.0%,0.07,1.67,2.17,0.83,0.17,Pass Types,41.00,1.83,0.33,0.67,0.17,2.17,0.50,1.00,0.17,0.33,0.00,0.00,0.67,Goal and Shot Creation,3.33,2.00,0.33,0.50,0.00,0.50,0.00,0.17,0.00,0.00,0.00,0.00,0.17,0.00,Defense,3.33,2.00,1.67,1.00,0.67,2.00,2.67,75.0%,0.67,0.83,0.17,0.83,4.17,0.33,0.00,Possession,58.00,1.33,9.83,28.50,20.83,2.50,58.00,6.83,2.17,31.7%,3.50,51.2%,37.33,200.50,106.83,2.17,1.00,2.33,1.17,39.33,Miscellaneous Stats,0.00,2.17,2.33,0.00,0.00,0.00,0.00,6.67,0.17,0.33,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fernando Calero,ESP,DF,30,Espanyol,La Liga,0.06,0.00,0.06,0.06,0.00,0.00,0.17,0.00,0.09,0.09,0.01,0.10,0.17,1.60,0.22,Shooting,Per 90,0.50,0.11,22.2%,0.11,0.50,9.80,0.00,0.19,-0.04,-0.04,Passing,42.41,48.64,87.2%,780.26,303.71,17.02,18.18,93.6%,20.82,22.03,94.5%,4.24,7.44,57.0%,0.01,0.22,1.60,0.06,0.06,Pass Types,46.05,2.48,1.49,0.00,0.39,0.17,0.22,0.00,0.00,0.00,0.00,0.11,0.83,Goal and Shot Creation,0.77,0.66,0.00,0.00,0.06,0.00,0.06,0.11,0.11,0.00,0.00,0.00,0.00,0.00,Defense,1.65,0.94,1.32,0.28,0.06,0.72,1.05,68.4%,0.33,2.42,1.60,1.43,3.08,5.18,0.06,Possession,61.14,8.87,36.46,22.25,2.64,0.72,61.14,0.22,0.11,50.0%,0.11,50.0%,32.11,129.66,71.93,0.22,0.00,0.39,0.06,37.23,Miscellaneous Stats,0.00,0.44,0.39,0.00,0.00,0.00,0.00,3.30,1.38,2.09,39.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duje Ćaleta-Car,CRO,DF,29,Real Sociedad,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.07,0.07,0.01,0.07,0.68,3.22,0.11,Shooting,Per 90,0.68,0.06,8.3%,0.00,0.00,8.50,0.00,0.10,-0.07,-0.07,Passing,52.09,57.57,90.5%,953.62,338.36,19.32,20.28,95.3%,28.53,30.34,94.0%,3.73,5.99,62.3%,0.03,0.17,2.77,0.11,0.00,Pass Types,54.86,2.71,1.64,0.11,0.34,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.28,Goal and Shot Creation,0.51,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.07,0.85,0.62,0.45,0.00,0.40,0.62,63.6%,0.23,1.24,0.96,0.96,2.03,5.20,0.00,Possession,68.31,8.64,32.37,34.41,1.75,1.13,68.31,0.00,0.00,,0.00,,40.40,185.93,104.97,0.34,0.00,0.17,0.17,45.37,Miscellaneous Stats,0.00,1.58,0.57,0.06,0.00,0.00,0.00,3.45,2.94,1.53,65.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Calvo,ESP,DF,31,Oviedo,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.13,1.91,0.13,Shooting,Per 90,0.00,0.00,,,,,0.00,,0.00,0.00,Passing,40.60,44.94,90.3%,782.68,277.28,12.38,13.02,95.1%,24.64,25.53,96.5%,3.19,5.23,61.0%,0.00,0.00,1.79,0.00,0.00,Pass Types,40.60,4.21,1.91,0.00,0.26,0.13,0.13,0.00,0.00,0.00,0.00,0.13,0.51,Goal and Shot Creation,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.40,0.77,1.02,0.38,0.00,0.77,0.89,85.7%,0.13,1.02,0.51,0.64,2.04,7.15,0.00,Possession,56.94,12.51,37.28,18.64,1.02,0.26,56.94,0.13,0.00,0.0%,0.13,100.0%,29.74,126.00,55.91,0.00,0.00,0.38,0.13,36.26,Miscellaneous Stats,0.00,0.77,0.38,0.00,0.00,0.00,0.00,1.91,2.43,0.89,73.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eduardo Camavinga,FRA,MF,23,Real Madrid,La Liga,0.17,0.06,0.22,0.17,0.00,0.00,0.28,0.06,0.10,0.10,0.11,0.21,1.93,4.63,2.42,Shooting,Per 90,0.83,0.28,33.3%,0.20,0.60,19.40,0.00,0.12,+0.07,+0.07,Passing,55.02,60.59,90.8%,933.38,242.68,26.05,27.65,94.2%,22.58,24.12,93.6%,4.63,6.00,77.1%,0.09,0.83,6.61,0.50,0.00,Pass Types,58.55,1.93,1.16,0.28,0.61,0.22,0.77,0.00,0.00,0.00,0.00,0.11,1.32,Goal and Shot Creation,2.59,2.09,0.06,0.11,0.06,0.22,0.06,0.39,0.39,0.00,0.00,0.00,0.00,0.00,Defense,3.97,2.53,2.48,1.21,0.28,1.98,3.19,62.1%,1.21,1.76,0.44,1.05,5.01,2.09,0.00,Possession,74.58,3.80,19.72,40.48,15.53,1.16,74.58,2.48,1.21,48.9%,0.94,37.8%,43.46,233.48,117.93,1.76,0.39,1.32,0.66,52.77,Miscellaneous Stats,0.06,1.54,2.09,0.00,0.00,0.06,0.00,5.67,1.32,1.27,51.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Camello,ESP,"FW,MF",24,Rayo Vallecano,La Liga,0.14,0.00,0.14,0.14,0.00,0.00,0.28,0.14,0.24,0.24,0.09,0.33,0.57,1.71,4.55,Shooting,Per 90,2.27,0.85,37.5%,0.06,0.17,15.40,0.00,0.11,-0.10,-0.10,Passing,18.63,22.18,84.0%,247.68,35.83,10.95,12.51,87.5%,6.11,7.11,86.0%,0.57,0.71,80.0%,0.04,1.00,1.28,0.28,0.00,Pass Types,20.33,1.56,0.28,0.14,0.14,0.28,0.14,0.00,0.00,0.00,0.00,0.28,0.28,Goal and Shot Creation,2.99,2.13,0.00,0.28,0.14,0.28,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,0.28,0.28,0.00,0.14,0.14,0.00,0.28,0.0%,0.28,0.28,0.00,0.28,0.57,0.14,0.14,Possession,31.00,0.28,1.42,15.36,14.79,2.84,31.00,2.56,1.28,50.0%,1.00,38.9%,20.33,75.78,21.47,1.00,0.28,2.84,2.13,23.60,Miscellaneous Stats,0.00,0.71,1.56,0.28,0.00,0.00,0.00,3.70,0.57,1.85,23.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergi Cardona,ESP,DF,26,Villarreal,La Liga,0.00,0.30,0.30,0.00,0.00,0.00,0.27,0.00,0.04,0.04,0.17,0.21,1.67,2.74,6.05,Shooting,Per 90,0.53,0.20,37.5%,0.00,0.00,14.80,0.00,0.07,-0.04,-0.04,Passing,35.68,46.37,76.9%,588.61,199.38,18.01,20.58,87.5%,14.43,18.41,78.4%,2.57,5.04,51.0%,0.16,1.30,2.00,1.54,0.90,Pass Types,37.12,9.05,0.84,0.10,0.10,3.57,8.22,0.00,0.00,0.00,0.00,0.20,1.37,Goal and Shot Creation,2.51,2.24,0.20,0.00,0.07,0.00,0.00,0.40,0.37,0.03,0.00,0.00,0.00,0.00,Defense,2.24,1.47,1.37,0.57,0.30,1.54,2.71,56.8%,1.17,1.47,0.10,1.37,3.61,3.47,0.13,Possession,57.59,3.78,21.18,20.31,16.40,1.77,57.59,0.84,0.30,36.0%,0.40,48.0%,27.33,112.95,61.90,1.10,0.30,0.70,0.40,30.10,Miscellaneous Stats,0.00,1.17,0.77,0.10,0.00,0.07,0.00,3.51,0.90,0.94,49.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Johnny Cardoso,USA,MF,24,Atlético Madrid,La Liga,0.16,0.00,0.16,0.16,0.00,0.00,0.27,0.00,0.07,0.07,0.02,0.09,1.02,2.89,0.91,Shooting,Per 90,0.80,0.37,46.7%,0.20,0.43,14.40,0.00,0.09,+0.09,+0.09,Passing,41.10,47.83,85.9%,642.93,164.07,21.43,23.89,89.7%,15.77,17.42,90.5%,2.46,3.42,71.9%,0.03,0.37,2.89,0.27,0.05,Pass Types,47.03,0.80,0.75,0.05,0.21,0.21,0.05,0.00,0.00,0.00,0.00,0.00,0.53,Goal and Shot Creation,1.34,1.07,0.00,0.21,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,2.46,1.18,0.59,1.60,0.27,0.80,1.92,41.7%,1.12,1.02,0.48,1.71,4.17,2.30,0.05,Possession,60.34,3.26,15.71,36.66,8.76,1.18,60.34,1.76,1.18,66.7%,0.53,30.3%,32.87,159.00,78.72,0.86,0.11,1.28,0.75,39.33,Miscellaneous Stats,0.00,1.71,0.86,0.00,0.00,0.00,0.00,5.08,1.66,1.12,59.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Carmo,ANG,DF,26,Oviedo,La Liga,0.07,0.00,0.07,0.07,0.00,0.00,0.47,0.07,0.06,0.06,0.02,0.08,0.54,3.45,0.14,Shooting,Per 90,0.61,0.20,33.3%,0.11,0.33,13.80,0.00,0.10,+0.01,+0.01,Passing,45.17,53.28,84.8%,1063.03,363.58,7.64,8.45,90.4%,28.94,30.63,94.5%,8.52,13.12,64.9%,0.02,0.34,3.58,0.27,0.00,Pass Types,50.98,2.03,1.28,0.07,0.68,0.00,0.27,0.00,0.00,0.00,0.00,0.27,0.20,Goal and Shot Creation,1.01,0.74,0.00,0.00,0.07,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.56,0.81,1.22,0.27,0.07,0.68,1.35,50.0%,0.68,1.08,0.88,1.01,2.57,8.38,0.00,Possession,66.94,11.22,39.15,26.03,2.03,1.01,66.94,0.14,0.14,100.0%,0.00,0.0%,36.58,169.25,94.87,0.20,0.07,0.20,0.14,42.80,Miscellaneous Stats,0.07,1.28,0.20,0.00,0.00,0.00,0.00,2.57,3.58,1.22,74.6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carmona,ESP,DF,23,Sevilla,La Liga,0.03,0.10,0.13,0.03,0.00,0.00,0.51,0.00,0.02,0.02,0.07,0.09,1.87,2.96,2.99,Shooting,Per 90,0.55,0.10,17.6%,0.06,0.33,20.60,0.00,0.04,+0.01,+0.01,Passing,41.46,52.30,79.3%,694.81,242.95,20.17,22.58,89.3%,17.53,20.91,83.8%,2.99,6.24,47.9%,0.04,0.61,3.06,0.35,0.23,Pass Types,42.33,9.94,1.25,0.03,0.51,1.35,8.65,0.03,0.00,0.03,0.00,0.03,0.90,Goal and Shot Creation,1.74,1.22,0.19,0.13,0.10,0.06,0.03,0.19,0.13,0.00,0.06,0.00,0.00,0.00,Defense,2.54,1.74,1.51,0.77,0.26,1.32,2.86,46.1%,1.54,1.22,0.32,1.48,4.02,3.18,0.10,Possession,65.17,3.38,21.68,32.33,11.90,0.90,65.17,1.83,0.64,35.1%,0.87,47.4%,27.37,154.04,89.52,1.03,0.48,1.13,0.42,34.19,Miscellaneous Stats,0.00,1.87,1.42,0.03,0.00,0.00,0.00,4.99,1.48,0.45,76.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sergio Carreira,ESP,"MF,DF",25,Celta Vigo,La Liga,0.03,0.16,0.19,0.03,0.00,0.00,0.06,0.00,0.04,0.04,0.09,0.13,1.88,3.98,6.89,Shooting,Per 90,0.61,0.13,21.1%,0.05,0.25,16.40,0.00,0.06,-0.01,-0.01,Passing,44.35,55.26,80.3%,745.10,232.60,20.83,23.58,88.3%,19.99,23.78,84.1%,2.94,5.14,57.2%,0.06,0.61,3.04,0.97,0.13,Pass Types,46.68,8.41,0.58,0.06,0.23,1.52,7.80,0.03,0.00,0.00,0.00,0.16,1.00,Goal and Shot Creation,1.52,1.33,0.06,0.10,0.00,0.03,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,Defense,1.39,0.81,0.78,0.36,0.26,0.84,1.42,59.1%,0.58,1.07,0.06,0.91,2.30,2.14,0.00,Possession,63.70,2.04,17.95,26.82,19.35,2.04,63.70,1.78,0.87,49.1%,0.81,45.5%,34.94,176.80,86.44,1.46,0.61,0.61,0.49,42.15,Miscellaneous Stats,0.00,0.87,0.78,0.10,0.00,0.03,0.00,3.62,0.26,0.74,25.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Álvaro Carreras,ESP,DF,22,Real Madrid,La Liga,0.04,0.12,0.16,0.04,0.00,0.00,0.36,0.04,0.02,0.02,0.09,0.11,2.21,7.04,5.39,Shooting,Per 90,0.48,0.08,16.7%,0.08,0.50,20.30,0.00,0.04,+0.02,+0.02,Passing,60.00,69.09,86.8%,938.08,304.02,32.94,35.11,93.8%,22.36,25.38,88.1%,3.38,5.67,59.6%,0.09,1.05,6.31,0.68,0.16,Pass Types,60.36,8.45,1.29,0.08,0.68,1.29,6.96,0.00,0.00,0.00,0.00,0.28,1.25,Goal and Shot Creation,2.49,2.21,0.00,0.12,0.04,0.08,0.04,0.24,0.24,0.00,0.00,0.00,0.00,0.00,Defense,1.93,0.92,1.09,0.52,0.32,0.97,2.01,48.0%,1.05,1.53,0.28,1.49,3.42,2.98,0.08,Possession,80.63,3.86,20.75,39.29,21.27,1.37,80.63,1.85,0.76,41.3%,0.76,41.3%,43.79,218.24,125.63,1.93,0.36,1.17,0.60,52.68,Miscellaneous Stats,0.00,1.01,1.41,0.16,0.04,0.04,0.00,6.15,0.97,1.01,49.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marc Casado,ESP,MF,22,Barcelona,La Liga,0.07,0.07,0.15,0.07,0.00,0.00,0.15,0.00,0.05,0.05,0.02,0.07,0.80,4.36,1.02,Shooting,Per 90,1.02,0.07,7.1%,0.07,1.00,19.60,0.00,0.05,+0.02,+0.02,Passing,74.88,81.79,91.6%,1104.43,249.72,42.02,44.13,95.2%,27.84,29.52,94.3%,2.69,4.07,66.1%,0.07,0.73,5.96,0.58,0.07,Pass Types,78.51,3.20,2.84,0.07,0.36,0.29,0.22,0.00,0.00,0.00,0.00,0.07,1.31,Goal and Shot Creation,2.54,2.25,0.00,0.00,0.22,0.07,0.00,0.22,0.22,0.00,0.00,0.00,0.00,0.00,Defense,2.47,1.38,0.36,1.67,0.44,1.16,2.54,45.7%,1.38,1.60,0.29,1.16,3.63,1.16,0.00,Possession,92.62,1.74,14.90,56.92,21.16,0.80,92.62,0.58,0.29,50.0%,0.29,50.0%,51.18,221.73,89.49,1.24,0.00,1.31,0.51,70.30,Miscellaneous Stats,0.00,1.82,1.45,0.00,0.00,0.00,0.00,4.00,0.58,0.80,42.1%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Castrin,ESP,DF,23,Sevilla,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.00,0.03,0.03,0.00,0.04,0.30,3.13,0.15,Shooting,Per 90,0.60,0.15,25.0%,0.00,0.00,11.50,0.00,0.05,-0.03,-0.03,Passing,56.57,64.48,87.7%,1191.04,400.15,14.63,16.12,90.7%,34.78,37.31,93.2%,6.87,10.30,66.7%,0.01,0.15,4.48,0.00,0.00,Pass Types,62.09,2.39,2.09,0.00,0.75,0.00,0.30,0.00,0.00,0.00,0.00,0.00,0.45,Goal and Shot Creation,0.30,0.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,2.09,1.19,1.49,0.60,0.00,1.19,2.09,57.1%,0.90,1.64,1.19,1.19,3.28,6.27,0.00,Possession,77.61,8.21,44.63,31.19,1.94,0.75,77.61,0.60,0.30,50.0%,0.30,50.0%,42.99,192.99,100.15,0.00,0.00,0.30,0.30,50.45,Miscellaneous Stats,0.00,1.04,1.04,0.00,0.00,0.00,0.00,4.78,2.09,1.49,58.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonny Castro,ESP,DF,31,Alavés,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.02,0.02,0.04,0.06,1.25,4.19,2.23,Shooting,Per 90,0.31,0.09,28.6%,0.00,0.00,21.80,0.00,0.06,-0.02,-0.02,Passing,53.38,62.22,85.8%,813.26,298.28,29.12,31.98,91.1%,20.43,23.06,88.6%,2.59,4.37,59.2%,0.06,0.49,4.24,0.40,0.13,Pass Types,51.47,10.53,1.87,0.09,0.13,0.98,8.65,0.00,0.00,0.00,0.00,0.22,1.34,Goal and Shot Creation,1.56,1.25,0.09,0.04,0.13,0.04,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,Defense,2.23,1.34,1.20,0.89,0.13,0.89,1.96,45.5%,1.07,1.56,0.22,1.61,3.84,2.54,0.09,Possession,73.81,3.21,23.15,37.64,13.51,0.71,73.81,1.52,0.89,58.8%,0.45,29.4%,37.42,187.58,90.09,0.89,0.09,1.25,1.07,42.46,Miscellaneous Stats,0.00,1.16,1.16,0.00,0.00,0.00,0.00,4.91,0.80,0.71,52.9%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catena,ESP,DF,31,Osasuna,La Liga,0.08,0.08,0.17,0.08,0.00,0.00,0.36,0.00,0.09,0.09,0.06,0.14,0.14,2.41,0.33,Shooting,Per 90,0.69,0.14,20.0%,0.12,0.60,10.60,0.00,0.13,-0.01,-0.01,Passing,41.43,48.24,85.9%,862.94,341.88,10.84,11.87,91.4%,24.75,26.41,93.7%,5.48,8.93,61.3%,0.05,0.41,2.10,0.25,0.03,Pass Types,44.83,3.24,2.79,0.03,0.47,0.06,0.06,0.00,0.00,0.00,0.00,0.17,0.36,Goal and Shot Creation,1.05,0.80,0.08,0.00,0.08,0.08,0.00,0.14,0.08,0.00,0.00,0.03,0.03,0.00,Defense,1.16,0.89,0.83,0.28,0.06,0.64,0.94,67.6%,0.30,1.27,0.91,0.94,2.10,6.56,0.11,Possession,59.63,9.63,31.39,26.16,2.49,1.58,59.63,0.28,0.17,60.0%,0.08,30.0%,32.83,137.43,73.35,0.14,0.03,0.36,0.06,36.04,Miscellaneous Stats,0.00,1.16,0.50,0.08,0.03,0.03,0.00,3.29,2.27,1.44,61.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dani Ceballos,ESP,MF,29,Real Madrid,La Liga,0.00,0.06,0.06,0.00,0.00,0.00,0.12,0.00,0.02,0.02,0.13,0.15,2.70,10.67,1.47,Shooting,Per 90,0.59,0.12,20.0%,0.00,0.00,24.70,0.00,0.03,-0.02,-0.02,Passing,87.07,92.81,93.8%,1390.63,387.21,44.15,45.21,97.7%,35.88,37.58,95.5%,4.98,6.16,81.0%,0.15,1.82,10.85,0.94,0.00,Pass Types,88.83,3.87,2.17,0.29,0.41,0.94,0.76,0.88,0.29,0.23,0.00,0.12,1.23,Goal and Shot Creation,3.64,3.17,0.35,0.06,0.00,0.06,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.00,Defense,3.28,1.93,1.23,1.58,0.47,1.70,3.58,47.5%,1.88,1.76,0.53,1.06,4.34,1.23,0.12,Possession,103.31,3.11,19.58,62.97,21.46,0.88,103.31,1.64,0.59,35.7%,0.88,53.6%,68.89,355.37,195.71,2.23,0.23,0.94,0.59,81.03,Miscellaneous Stats,0.00,0.94,1.76,0.00,0.00,0.06,0.00,6.04,0.18,0.18,50.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilyas Chaira,MAR,"FW,MF",24,Oviedo,La Liga,0.09,0.09,0.17,0.09,0.00,0.00,0.00,0.09,0.19,0.19,0.09,0.28,4.00,3.56,6.86,Shooting,Per 90,2.26,0.96,42.3%,0.04,0.09,19.90,0.00,0.08,-0.10,-0.10,Passing,24.06,29.71,81.0%,347.06,61.16,14.33,15.90,90.2%,7.64,9.64,79.3%,1.13,1.91,59.1%,0.07,0.70,1.74,0.61,0.17,Pass Types,28.84,0.52,0.09,0.00,0.09,2.43,0.35,0.09,0.00,0.00,0.00,0.35,1.22,Goal and Shot Creation,2.69,1.74,0.09,0.17,0.35,0.26,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,Defense,1.56,1.13,0.52,0.96,0.09,1.13,2.35,48.1%,1.22,1.48,0.26,0.35,1.91,0.96,0.00,Possession,44.65,1.04,7.04,19.63,18.85,2.87,44.65,4.52,1.39,30.8%,2.87,63.5%,26.06,190.51,96.17,2.61,0.78,2.78,1.22,30.67,Miscellaneous Stats,0.00,2.08,1.13,0.78,0.09,0.00,0.00,4.95,0.35,1.13,23.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pep Chavarría,ESP,DF,27,Rayo Vallecano,La Liga,0.03,0.06,0.09,0.03,0.00,0.00,0.17,0.00,0.03,0.03,0.09,0.12,3.09,4.53,5.17,Shooting,Per 90,0.55,0.12,21.1%,0.05,0.25,25.00,0.00,0.05,0.00,0.00,Passing,45.79,56.48,81.1%,756.03,252.36,23.01,25.24,91.2%,18.88,22.72,83.1%,3.29,5.92,55.6%,0.10,1.01,2.83,1.39,0.49,Pass Types,46.66,9.67,0.72,0.12,0.32,2.95,8.95,0.00,0.00,0.00,0.00,0.14,0.84,Goal and Shot Creation,2.60,2.14,0.14,0.09,0.06,0.14,0.03,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Defense,1.62,1.16,1.13,0.40,0.09,0.75,1.18,63.4%,0.43,1.21,0.38,1.01,2.63,3.15,0.14,Possession,67.71,2.92,20.44,30.00,17.99,0.95,67.71,1.56,0.52,33.3%,0.84,53.7%,34.13,192.82,111.97,1.56,0.17,1.67,0.38,40.02,Miscellaneous Stats,0.00,1.27,1.16,0.09,0.00,0.09,0.00,4.04,0.87,1.07,44.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Christensen,DEN,DF,29,Barcelona,La Liga,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.01,0.01,0.01,0.03,0.67,4.55,0.13,Shooting,Per 90,0.54,0.00,0.0%,0.00,,16.70,0.00,0.03,-0.01,-0.01,Passing,72.32,76.88,94.1%,1183.79,432.72,32.95,34.29,96.1%,36.03,37.37,96.4%,2.14,2.81,76.2%,0.04,0.27,7.37,0.00,0.00,Pass Types,73.39,3.48,2.68,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.80,Goal and Shot Creation,0.54,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Defense,1.74,1.21,1.07,0.54,0.13,1.07,1.34,80.0%,0.27,1.21,0.40,0.80,2.54,3.48,0.00,Possession,85.71,6.56,27.99,53.17,4.96,0.54,85.71,0.00,0.00,,0.00,,56.25,258.62,133.93,1.34,0.13,0.13,0.27,63.48,Miscellaneous Stats,0.00,1.07,0.54,0.00,0.00,0.00,0.00,5.22,3.08,1.07,74.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
