Player,Nation,Position,Age,Squad,League,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Progressive Passes Rec,Shooting,Statistic,Shots Total,Shots on Target,Shots on Target %,Goals/Shot,Goals/Shot on Target,Average Shot Distance,Shots from Free Kicks,npxG/Shot,Goals - xG,Non-Penalty Goals - npxG,Passing,Passes Completed,Passes Attempted,Pass Completion %,Total Passing Distance,Progressive Passing Distance,Passes Completed (Short),Passes Attempted (Short),Pass Completion % (Short),Passes Completed (Medium),Passes Attempted (Medium),Pass Completion % (Medium),Passes Completed (Long),Passes Attempted (Long),Pass Completion % (Long),xA: Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Pass Types,Live-ball Passes,Dead-ball Passes,Passes from Free Kicks,Through Balls,Switches,Crosses,Throw-ins Taken,Corner Kicks,Inswinging Corner Kicks,Outswinging Corner Kicks,Straight Corner Kicks,Passes Offside,Passes Blocked,Goal and Shot Creation,Shot-Creating Actions,SCA (Live-ball Pass),SCA (Dead-ball Pass),SCA (Take-On),SCA (Shot),SCA (Fouls Drawn),SCA (Defensive Action),Goal-Creating Actions,GCA (Live-ball Pass),GCA (Dead-ball Pass),GCA (Take-On),GCA (Shot),GCA (Fouls Drawn),GCA (Defensive Action),Defense,Tackles,Tackles Won,Tackles (Def 3rd),Tackles (Mid 3rd),Tackles (Att 3rd),Dribblers Tackled,Dribbles Challenged,% of Dribblers Tackled,Challenges Lost,Blocks,Shots Blocked,Interceptions,Tkl+Int,Clearances,Errors,Possession,Touches,Touches (Def Pen),Touches (Def 3rd),Touches (Mid 3rd),Touches (Att 3rd),Touches (Att Pen),Touches (Live-Ball),Take-Ons Attempted,Successful Take-Ons,Successful Take-On %,Times Tackled During Take-On,Tackled During Take-On Percentage,Carries,Total Carrying Distance,Progressive Carrying Distance,Carries into Final Third,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Miscellaneous Stats,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Ball Recoveries,Aerials Won,Aerials Lost,% of Aerials Won,Goals Against,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Advanced Goalkeeping,Free Kick Goals Against,Corner Kick Goals Against,Own Goals Scored Against Goalkeeper,Post-Shot Expected Goals,PSxG/SoT,PSxG-GA,Passes Completed (Launched),Passes Attempted (Launched),Pass Completion Percentage (Launched),Passes Attempted (GK),Throws Attempted,Launch %,Average Pass Length,Goal Kicks,Launch% (Goal Kicks),Avg. Length of Goal Kicks,Crosses Faced,Crosses Stopped,Crosses Stopped %,Def. Actions Outside Pen. Area,Avg. Distance of Def. Actions
Ilan Kebbal,ALG,"FW,MF",27,Paris FC,Ligue1,0.38,0.26,0.64,0.26,0.13,0.13,0.13,0.00,0.27,0.17,0.19,0.36,3.85,7.18,7.05,Shooting,Per 90,1.99,0.64,32.3%,0.13,0.40,21.10,0.00,0.09,+0.12,+0.08,Passing,52.37,63.78,82.1%,901.47,274.36,24.87,27.18,91.5%,21.47,25.51,84.2%,5.19,8.33,62.3%,0.22,2.56,5.77,1.73,0.45,Pass Types,58.78,4.49,1.60,0.64,0.38,4.29,0.64,2.18,1.28,0.00,0.00,0.51,0.51,Goal and Shot Creation,4.49,3.65,0.45,0.13,0.06,0.13,0.06,0.32,0.26,0.00,0.00,0.00,0.06,0.00,Defense,1.41,0.90,0.51,0.77,0.13,0.64,1.22,52.6%,0.58,0.51,0.00,0.32,1.73,0.32,0.00,Possession,73.78,0.83,8.59,39.23,26.67,3.33,73.65,2.69,1.15,42.9%,1.41,52.4%,47.88,294.74,150.13,3.14,1.41,1.79,1.73,59.10,Miscellaneous Stats,0.00,0.32,2.63,0.19,0.06,0.00,0.00,4.62,0.06,0.45,12.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yassine Kechta,MAR,MF,23,Le Havre,Ligue1,0.13,0.04,0.18,0.13,0.00,0.00,0.18,0.00,0.13,0.13,0.08,0.21,1.88,3.99,3.28,Shooting,Per 90,1.40,0.39,28.1%,0.09,0.33,21.20,0.09,0.09,0.00,0.00,Passing,23.96,30.74,77.9%,412.91,112.16,10.91,12.44,87.7%,9.94,11.78,84.4%,2.19,4.34,50.5%,0.10,0.66,2.32,0.88,0.31,Pass Types,28.16,2.45,0.44,0.13,0.31,2.15,0.13,0.61,0.53,0.09,0.00,0.13,0.88,Goal and Shot Creation,1.88,1.23,0.09,0.18,0.13,0.18,0.09,0.18,0.09,0.00,0.04,0.00,0.04,0.00,Defense,2.06,1.14,1.09,0.66,0.31,1.09,2.72,40.3%,1.62,1.01,0.13,1.18,3.24,1.53,0.13,Possession,42.26,1.14,8.37,22.20,12.57,1.53,42.26,1.80,0.61,34.1%,1.05,58.5%,22.82,140.41,72.00,1.31,0.22,1.84,0.96,25.66,Miscellaneous Stats,0.00,2.41,1.01,0.22,0.04,0.00,0.00,4.29,0.39,1.14,25.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thilo Kehrer,GER,DF,29,Monaco,Ligue1,0.06,0.00,0.06,0.06,0.00,0.00,0.22,0.06,0.08,0.08,0.00,0.08,0.53,4.95,0.09,Shooting,Per 90,0.78,0.19,24.0%,0.08,0.33,10.10,0.00,0.10,-0.02,-0.02,Passing,53.88,61.27,87.9%,991.88,386.03,20.08,21.55,93.2%,28.48,30.76,92.6%,4.39,7.14,61.4%,0.02,0.06,4.86,0.09,0.00,Pass Types,58.58,2.63,2.32,0.00,0.31,0.06,0.03,0.00,0.00,0.00,0.00,0.06,0.60,Goal and Shot Creation,0.91,0.63,0.03,0.00,0.19,0.03,0.03,0.16,0.09,0.00,0.00,0.06,0.00,0.00,Defense,1.72,0.97,1.10,0.56,0.06,1.19,1.88,63.3%,0.69,1.35,0.75,1.50,3.23,3.60,0.06,Possession,71.36,6.74,27.47,40.44,3.48,0.91,71.36,0.06,0.06,100.0%,0.00,0.0%,39.38,194.10,117.50,0.50,0.00,0.38,0.06,48.77,Miscellaneous Stats,0.03,0.94,0.78,0.03,0.00,0.03,0.00,4.14,2.04,1.32,60.7%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruben Kluivert,NED,DF,24,Lyon,Ligue1,0.16,0.16,0.31,0.16,0.00,0.00,0.31,0.00,0.08,0.08,0.03,0.11,0.94,2.65,0.47,Shooting,Per 90,0.47,0.31,66.7%,0.33,0.50,6.50,0.00,0.17,+0.08,+0.08,Passing,59.12,64.89,91.1%,1028.37,321.16,24.02,25.74,93.3%,29.79,32.29,92.3%,3.90,5.15,75.8%,0.05,0.31,2.03,0.16,0.16,Pass Types,58.65,6.24,2.34,0.00,0.16,0.31,3.59,0.00,0.00,0.00,0.00,0.00,0.62,Goal and Shot Creation,0.78,0.62,0.00,0.16,0.00,0.00,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.00,Defense,2.18,1.40,1.25,0.62,0.31,1.25,2.18,57.1%,0.94,1.56,0.94,1.09,3.28,3.59,0.00,Possession,74.87,6.08,33.07,38.53,4.06,1.40,74.87,0.16,0.16,100.0%,0.00,0.0%,44.92,195.44,89.38,0.94,0.16,0.47,0.31,50.69,Miscellaneous Stats,0.00,1.09,0.94,0.00,0.00,0.00,0.00,5.30,2.18,0.94,70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hervé Koffi,BFA,GK,29,Angers,Ligue1,,,,,,0.26,,,,,,,,,,,Per 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21,5.26,3.95,79.0%,0.37,0.21,0.42,0.26,26.3%,0.11,0.11,0.05,50.0%,Advanced Goalkeeping,0.00,0.21,0.00,1.69,0.30,+0.48,3.32,10.95,30.3%,27.47,5.05,31.4%,32.9,5.63,41.1%,36.4,14.84,1.68,11.3%,0.63,9.9
Philipp Köhn,SUI,GK,27,Monaco,Ligue1,,,,,,0.09,,,,,,,,,,,Per 90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.52,4.30,2.82,66.7%,0.43,0.26,0.26,0.30,31.8%,0.09,0.00,0.00,0.0%,Advanced Goalkeeping,0.00,0.17,0.04,1.46,0.34,-0.01,2.56,7.34,34.9%,23.34,4.35,23.5%,28.7,4.87,38.4%,35.5,11.95,1.00,8.4%,1.35,14.6
Geoffrey Kondogbia,CTA,"MF,DF",32,Marseille,Ligue1,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.03,0.03,0.01,0.04,1.04,4.77,0.76,Shooting,Per 90,0.55,0.14,25.0%,0.00,0.00,14.10,0.00,0.04,-0.03,-0.03,Passing,75.20,82.18,91.5%,1177.06,330.32,35.70,37.84,94.3%,34.59,36.39,95.1%,2.35,4.36,54.0%,0.05,0.28,5.40,0.48,0.07,Pass Types,79.76,2.42,1.11,0.14,0.21,0.21,0.42,0.00,0.00,0.00,0.00,0.00,0.69,Goal and Shot Creation,1.18,1.11,0.00,0.00,0.07,0.00,0.00,0.14,0.14,0.00,0.00,0.00,0.00,0.00,Defense,2.21,1.45,0.83,1.18,0.21,0.55,1.11,50.0%,0.55,1.31,0.62,1.18,3.39,2.91,0.28,Possession,91.59,6.64,29.88,51.61,10.58,0.90,91.59,0.69,0.62,90.0%,0.07,10.0%,60.25,242.33,137.11,1.31,0.07,0.55,0.76,70.28,Miscellaneous Stats,0.00,1.45,1.04,0.07,0.00,0.07,0.00,5.53,1.73,0.76,69.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koffi Kouao,CIV,DF,27,Metz,Ligue1,0.00,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.04,0.04,0.03,0.07,1.75,3.42,3.56,Shooting,Per 90,0.70,0.28,40.0%,0.00,0.00,19.10,0.00,0.06,-0.04,-0.04,Passing,41.40,48.53,85.3%,720.35,237.74,18.78,20.32,92.4%,17.60,19.06,92.3%,4.05,6.98,58.0%,0.05,0.49,3.42,0.42,0.28,Pass Types,42.80,5.73,0.70,0.00,0.49,2.02,5.03,0.00,0.00,0.00,0.00,0.00,0.56,Goal and Shot Creation,1.40,0.98,0.00,0.28,0.07,0.07,0.00,0.07,0.00,0.00,0.00,0.00,0.07,0.00,Defense,2.93,1.82,1.68,0.91,0.35,2.23,4.05,55.2%,1.82,0.91,0.35,0.91,3.84,3.07,0.00,Possession,59.56,3.91,22.34,27.23,10.96,0.98,59.56,1.12,0.91,81.3%,0.14,12.5%,36.45,181.05,93.00,1.75,0.56,1.40,0.63,37.35,Miscellaneous Stats,0.00,1.33,1.40,0.14,0.07,0.07,0.07,4.75,0.21,0.63,25.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arsène Kouassi,BFA,"DF,MF",21,Lorient,Ligue1,0.07,0.20,0.26,0.07,0.00,0.00,0.13,0.00,0.03,0.03,0.17,0.19,3.77,2.18,5.88,Shooting,Per 90,0.26,0.07,25.0%,0.25,1.00,15.40,0.07,0.11,+0.04,+0.04,Passing,31.45,39.52,79.6%,494.34,156.81,16.65,17.97,92.6%,12.03,15.20,79.1%,1.98,4.23,46.9%,0.13,1.26,1.32,0.66,0.46,Pass Types,31.78,7.67,0.73,0.00,0.00,4.96,5.29,1.65,0.59,0.40,0.00,0.07,0.53,Goal and Shot Creation,2.58,1.59,0.66,0.00,0.07,0.20,0.07,0.33,0.20,0.07,0.00,0.00,0.07,0.00,Defense,0.99,0.79,0.53,0.33,0.13,0.33,0.59,55.6%,0.26,0.59,0.07,0.93,1.92,1.98,0.00,Possession,48.37,1.72,13.35,17.25,18.63,1.98,48.37,3.17,1.39,43.8%,1.45,45.8%,28.48,189.71,109.10,1.78,0.99,1.06,0.46,28.61,Miscellaneous Stats,0.00,0.73,1.65,0.20,0.07,0.00,0.00,3.96,0.40,0.59,40.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jean-Philippe Krasso,CIV,FW,28,Paris FC,Ligue1,0.25,0.25,0.50,0.13,0.13,0.13,0.00,0.00,0.31,0.21,0.28,0.49,0.63,1.25,5.63,Shooting,Per 90,1.75,0.88,50.0%,0.07,0.14,16.40,0.00,0.12,-0.06,-0.09,Passing,14.00,19.75,70.9%,184.38,25.38,9.13,12.25,74.5%,3.88,4.88,79.5%,0.50,0.88,57.1%,0.28,1.88,0.63,0.63,0.00,Pass Types,17.75,2.00,0.00,0.38,0.00,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.75,Goal and Shot Creation,3.25,2.50,0.00,0.25,0.38,0.13,0.00,0.63,0.50,0.00,0.00,0.13,0.00,0.00,Defense,0.75,0.50,0.13,0.38,0.25,0.50,0.88,57.1%,0.38,0.88,0.13,0.13,0.88,0.63,0.00,Possession,34.75,1.00,2.88,17.25,14.88,5.50,34.63,3.25,1.00,30.8%,2.25,69.2%,15.63,59.25,22.88,0.25,1.00,4.88,0.88,24.13,Miscellaneous Stats,0.00,1.38,1.75,1.13,0.00,0.00,0.00,1.38,2.13,4.13,34.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
